name	tradition	type	provenance	status	reviewer
ANYIAM	igbo	first	wikipedia	reviewed	David Akinboro
ARAMIDE	yoruba	first	wikipedia	reviewed	David Akinboro
ARINZE	igbo	first	wikipedia	reviewed	David Akinboro
ASABE	other	first	wikipedia	reviewed	David Akinboro
ASAGWARA	igbo	surname	wikipedia	reviewed	David Akinboro
ATANDA	yoruba	first	wikipedia	reviewed	David Akinboro
ATINUKE	yoruba	first	wikipedia	reviewed	David Akinboro
AWOJOBI	yoruba	surname	wikipedia	reviewed	David Akinboro
AWONIYI	yoruba	surname	wikipedia	reviewed	David Akinboro
AYANBADEJO	yoruba	first	wikipedia	reviewed	David Akinboro
AZIKIWE	igbo	first	wikipedia	reviewed	David Akinboro
AZUBUIKE	igbo	first	wikipedia	reviewed	David Akinboro
AZUKA	igbo	first	wikipedia	reviewed	David Akinboro
EBELE	igbo	first	wikipedia	reviewed	David Akinboro
EBERE	igbo	first	wikipedia	reviewed	David Akinboro
EDOCHIE	igbo	surname	wikipedia	reviewed	David Akinboro
EGONU	igbo	surname	wikipedia	reviewed	David Akinboro
EJIKE	igbo	first	wikipedia	reviewed	David Akinboro
EMENIKE	igbo	first	wikipedia	reviewed	David Akinboro
ENYINNAYA	igbo	first	wikipedia	reviewed	David Akinboro
IBEKWE	igbo	surname	wikipedia	reviewed	David Akinboro
IBIJOKE	yoruba	first	wikipedia	reviewed	David Akinboro
IBIKUNLE	yoruba	first	wikipedia	reviewed	David Akinboro
IBIYINKA	yoruba	first	wikipedia	reviewed	David Akinboro
IFUNANYA	igbo	first	wikipedia	reviewed	David Akinboro
IHEMELU	igbo	first	wikipedia	reviewed	David Akinboro
IHEOMA	igbo	first	wikipedia	reviewed	David Akinboro
IHUOMA	igbo	first	wikipedia	reviewed	David Akinboro
IJEOMA	igbo	first	wikipedia	reviewed	David Akinboro
IKPEAZU	igbo	first	wikipedia	reviewed	David Akinboro
IKWECHEGH	igbo	surname	wikipedia	reviewed	David Akinboro
ILESANMI	yoruba	first	wikipedia	reviewed	David Akinboro
ILORI	yoruba	surname	wikipedia	reviewed	David Akinboro
IRETI	yoruba	first	wikipedia	reviewed	David Akinboro
ISIOMA	igbo	first	wikipedia	reviewed	David Akinboro
IWOBI	igbo	surname	wikipedia	reviewed	David Akinboro
OBASI	igbo	surname	wikipedia	reviewed	David Akinboro
OBUH	igbo	surname	wikipedia	reviewed	David Akinboro
ODEGBAMI	yoruba	surname	wikipedia	reviewed	David Akinboro
ODITA	igbo	surname	wikipedia	reviewed	David Akinboro
ODUKOYA	yoruba	surname	wikipedia	reviewed	David Akinboro
ODUWOLE	yoruba	surname	wikipedia	reviewed	David Akinboro
OGBU	igbo	surname	wikipedia	reviewed	David Akinboro
OGUN	yoruba	first	wikipedia	reviewed	David Akinboro
OKEZIE	igbo	first	wikipedia	reviewed	David Akinboro
OKORIE	igbo	surname	wikipedia	reviewed	David Akinboro
OKORONKWO	igbo	first	wikipedia	reviewed	David Akinboro
OKOYA	yoruba	first	wikipedia	reviewed	David Akinboro
OKUNNU	yoruba	first	wikipedia	reviewed	David Akinboro
OLOWOFOYEKU	yoruba	surname	wikipedia	reviewed	David Akinboro
OMILANA	yoruba	surname	wikipedia	reviewed	David Akinboro
OMISORE	yoruba	surname	wikipedia	reviewed	David Akinboro
ONAKOYA	yoruba	surname	wikipedia	reviewed	David Akinboro
ONYEMA	igbo	first	wikipedia	reviewed	David Akinboro
AYOOLA	yoruba	first	review-cited	reviewed	David Akinboro
ADEIFE	yoruba	first	review-cited	reviewed	David Akinboro
TOKUNBO	yoruba	first	review-cited	reviewed	David Akinboro
AYO	yoruba	first	review-cited	reviewed	David Akinboro
OLA	yoruba	first	review-cited	reviewed	David Akinboro
OYETUNDE	yoruba	surname	wikipedia	reviewed	David Akinboro
AGU	igbo	first	wikipedia	reviewed	David Akinboro
BAKO	hausa	first	wikipedia	reviewed	David Akinboro
BALARABA	hausa	first	wikipedia	reviewed	David Akinboro
BALARABE	hausa	first	wikipedia	reviewed	David Akinboro
BAMIGBOYE	yoruba	first	wikipedia	reviewed	David Akinboro
BANKOLE	yoruba	first	wikipedia	reviewed	David Akinboro
BOLAJI	yoruba	surname	wikipedia	reviewed	David Akinboro
BOLANLE	yoruba	first	wikipedia	reviewed	David Akinboro
BURAIMOH	yoruba	first	wikipedia	reviewed	David Akinboro
DANLAMI	hausa	first	wikipedia	reviewed	David Akinboro
DANTATA	hausa	surname	wikipedia	reviewed	David Akinboro
DOGO	hausa	first	wikipedia	reviewed	David Akinboro
DOSUNMU	yoruba	first	wikipedia	reviewed	David Akinboro
DOZIE	igbo	first	wikipedia	reviewed	David Akinboro
DUROJAIYE	yoruba	surname	wikipedia	reviewed	David Akinboro
DUROSINMI	yoruba	first	wikipedia	reviewed	David Akinboro
DUROTOYE	yoruba	first	wikipedia	reviewed	David Akinboro
DURU	igbo	surname	wikipedia	reviewed	David Akinboro
FADIPE	yoruba	first	wikipedia	reviewed	David Akinboro
FAKEYE	yoruba	first	wikipedia	reviewed	David Akinboro
FATAI	hausa	first	wikipedia	reviewed	David Akinboro
FAYEMI	yoruba	surname	wikipedia	reviewed	David Akinboro
FOLAKEMI	yoruba	first	wikipedia	reviewed	David Akinboro
FOLARIN	yoruba	first	wikipedia	reviewed	David Akinboro
FOLAYAN	yoruba	first	wikipedia	reviewed	David Akinboro
FOLAYEMI	yoruba	first	wikipedia	reviewed	David Akinboro
FOLORUNSHO	yoruba	first	wikipedia	reviewed	David Akinboro
FUNMI	yoruba	first	wikipedia	reviewed	David Akinboro
FUNSHO	yoruba	first	wikipedia	reviewed	David Akinboro
FUWAPE	yoruba	first	wikipedia	reviewed	David Akinboro
GAMBO	hausa	first	wikipedia	reviewed	David Akinboro
GARUBA	hausa	first	wikipedia	reviewed	David Akinboro
GBADAMOSI	yoruba	surname	wikipedia	reviewed	David Akinboro
HAROUNA	hausa	surname	wikipedia	reviewed	David Akinboro
JATAU	hausa	first	wikipedia	reviewed	David Akinboro
JIMOH	yoruba	surname	wikipedia	reviewed	David Akinboro
JUMAI	hausa	first	wikipedia	reviewed	David Akinboro
KALU	igbo	surname	wikipedia	reviewed	David Akinboro
KANYE	yoruba	first	wikipedia	reviewed	David Akinboro
KAWU	hausa	first	wikipedia	reviewed	David Akinboro
KEMI	yoruba	first	wikipedia	reviewed	David Akinboro
KOLADE	yoruba	first	wikipedia	reviewed	David Akinboro
KUMUYI	yoruba	surname	wikipedia	reviewed	David Akinboro
LADAPO	yoruba	first	wikipedia	reviewed	David Akinboro
LADIPO	yoruba	first	wikipedia	reviewed	David Akinboro
LAMIDI	yoruba	first	wikipedia	reviewed	David Akinboro
LAYENI	yoruba	surname	wikipedia	reviewed	David Akinboro
MADUKA	igbo	first	wikipedia	reviewed	David Akinboro
MAIGARI	hausa	surname	wikipedia	reviewed	David Akinboro
MAKINDE	yoruba	first	wikipedia	reviewed	David Akinboro
MAMMAN	hausa	first	wikipedia	reviewed	David Akinboro
MBADIWE	igbo	surname	wikipedia	reviewed	David Akinboro
MBAKWE	igbo	surname	wikipedia	reviewed	David Akinboro
MBANEFO	igbo	first	wikipedia	reviewed	David Akinboro
MODUPE	yoruba	first	wikipedia	reviewed	David Akinboro
MOGAJI	yoruba	first	wikipedia	reviewed	David Akinboro
MOLADE	yoruba	first	wikipedia	reviewed	David Akinboro
MONYE	igbo	surname	wikipedia	reviewed	David Akinboro
MOSHOOD	yoruba	first	wikipedia	reviewed	David Akinboro
MUYIWA	yoruba	first	wikipedia	reviewed	David Akinboro
NDIDI	igbo	first	wikipedia	reviewed	David Akinboro
NDUBUISI	igbo	first	wikipedia	reviewed	David Akinboro
NDUKA	igbo	first	wikipedia	reviewed	David Akinboro
NDUKWE	igbo	surname	wikipedia	reviewed	David Akinboro
NKEMAKONAM	igbo	first	wikipedia	reviewed	David Akinboro
NKIRUKA	igbo	first	wikipedia	reviewed	David Akinboro
NSOFOR	igbo	surname	wikipedia	reviewed	David Akinboro
NWODO	igbo	surname	wikipedia	reviewed	David Akinboro
NWOKIKE	igbo	surname	wikipedia	reviewed	David Akinboro
NWOKOLO	igbo	first	wikipedia	reviewed	David Akinboro
NWOKORIE	igbo	surname	wikipedia	reviewed	David Akinboro
OLU	yoruba	first	wikipedia	reviewed	David Akinboro
OPEYEMI	yoruba	first	wikipedia	reviewed	David Akinboro
OSUJI	igbo	surname	wikipedia	reviewed	David Akinboro
OYEDEPO	yoruba	surname	wikipedia	reviewed	David Akinboro
OYEKAN	yoruba	surname	wikipedia	reviewed	David Akinboro
OYELEYE	yoruba	first	wikipedia	reviewed	David Akinboro
OYENUGA	yoruba	surname	wikipedia	reviewed	David Akinboro
OYEWALE	yoruba	first	wikipedia	reviewed	David Akinboro
OYEYEMI	yoruba	first	wikipedia	reviewed	David Akinboro
OZIOMA	igbo	first	wikipedia	reviewed	David Akinboro
OZOR	igbo	surname	wikipedia	reviewed	David Akinboro
PELUMI	yoruba	first	wikipedia	reviewed	David Akinboro
ROTIMI	yoruba	first	wikipedia	reviewed	David Akinboro
SAFIYANU	hausa	first	wikipedia	reviewed	David Akinboro
SARAKI	yoruba	first	wikipedia	reviewed	David Akinboro
SARATU	hausa	first	wikipedia	reviewed	David Akinboro
SARKI	hausa	first	wikipedia	reviewed	David Akinboro
SHAGAYA	yoruba	surname	wikipedia	reviewed	David Akinboro
SHOYINKA	yoruba	surname	wikipedia	reviewed	David Akinboro
SIJUWADE	yoruba	first	wikipedia	reviewed	David Akinboro
SOWANDE	yoruba	surname	wikipedia	reviewed	David Akinboro
SOYINKA	yoruba	surname	wikipedia	reviewed	David Akinboro
TALATU	hausa	first	wikipedia	reviewed	David Akinboro
TEJUOSHO	yoruba	surname	wikipedia	reviewed	David Akinboro
TIMILEYIN	yoruba	first	wikipedia	reviewed	David Akinboro
TIWATOPE	yoruba	first	wikipedia	reviewed	David Akinboro
TOLULOPE	yoruba	first	wikipedia	reviewed	David Akinboro
TOMIWA	yoruba	first	wikipedia	reviewed	David Akinboro
TUNJI	yoruba	first	wikipedia	reviewed	David Akinboro
TURAI	hausa	first	wikipedia	reviewed	David Akinboro
UDEBULUZOR	igbo	first	wikipedia	reviewed	David Akinboro
UDEGBE	igbo	first	wikipedia	reviewed	David Akinboro
UWAZURUIKE	igbo	first	wikipedia	reviewed	David Akinboro
YAKUBU	hausa	first	wikipedia	reviewed	David Akinboro
YEMISI	yoruba	first	wikipedia	reviewed	David Akinboro
ADE	yoruba	first	review-implied	reviewed	David Akinboro
